SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR2O3(WT%)
48.29,18.3,9,9.66,11.13,2.48,0.11,0.79,0
48.22,18.32,9,9.46,11.37,2.48,0.11,0.81,0
52.02,15.7,7.7,10.68,10.02,2.67,0.38,0.57,0
47.69,18.54,8.2,10.52,12.02,2.16,0.07,0.59,0
47.97,17.05,9.22,10.48,11.87,2.37,0.1,0.7,0
48.16,18.26,8.71,9.92,11.44,2.47,0.1,0.72,0
48.28,18.55,7.98,9.98,12.07,2.11,0.19,0.62,0
48.65,18.02,8.65,9.61,11.21,2.66,0.16,0.77,0
48.1,18,8.78,9.48,12.26,2.42,0.07,0.67,0
47.69,18.6,8.53,9.92,12.1,2.25,0.07,0.65,0
47.81,18.21,8.58,10.01,12.21,2.24,0.07,0.64,0
48.24,18.25,8.39,9.86,12.01,2.29,0.09,0.66,0
47.68,18.53,8.21,10.52,12.02,2.16,0.07,0.59,0
47.8,18,8.68,10.2,12.1,2.28,0.08,0.63,0
48.22,17.51,8.92,9.77,12.33,2.29,0.08,0.66,0
48.42,17.86,8.77,9.55,12,2.37,0.1,0.71,0
48.42,18.24,8.41,9.66,11.92,2.38,0.09,0.65,0
47.78,18.25,8.4,10.27,12.07,2.32,0.07,0.63,0
47.8,18.3,8.41,10.29,12.08,2.22,0.07,0.63,0
47.67,18.29,8.46,10.28,12.08,2.32,0.06,0.63,0
47.88,17.99,8.74,10.02,12.15,2.28,0.07,0.67,0
51.75,16.2,7.88,10.68,9.57,2.73,0.33,0.6,0
51.84,16.04,8.03,10.79,9.77,2.24,0.42,0.6,0
51.6,16.24,7.84,10.73,9.6,2.77,0.36,0.6,0
47.82,18.41,8.5,9.95,12.12,2.29,0.07,0.63,0
47.97,17.99,8.63,9.87,12.08,2.43,0.13,0.68,0
47.7,18.1,8.51,10.27,12.16,2.34,0.07,0.64,0
47.7,18.4,8.31,10.4,12.1,2.24,0.07,0.6,0
47.69,18.2,8.49,10.1,12.2,2.41,0.08,0.63,0
47.84,18.02,8.54,9.98,12.27,2.4,0.1,0.64,0
47.78,18.29,8.56,9.89,12.18,2.38,0.08,0.64,0
47.9,18.1,8.61,9.63,12.25,2.42,0.14,0.71,0
47.8,18.3,8.51,10.1,12,2.38,0.08,0.63,0
48,18.2,8.77,9.49,11.92,2.43,0.12,0.82,0
51.2,15.67,7.87,11.08,10.68,2.45,0.32,0.52,0
50.12,16.65,7.93,10.44,9.81,3.64,0.51,0.63,0
51.18,16.39,7.55,11.08,10.09,2.56,0.31,0.57,0
51.54,16.85,7.39,9.1,11.27,2.59,0.41,0.6,0
51.59,17.27,7.34,9.22,10.44,2.57,0.61,0.71,0
48.23,17.41,9.09,10.11,11.41,2.55,0.14,0.8,0
48.33,17.37,9.26,9.78,11.18,2.68,0.17,0.96,0
48.47,18.18,8.83,9.43,11.31,2.54,0.16,0.82,0
49.68,16.46,9.03,10.34,10.54,2.42,0.4,0.85,0
53.54,18.46,7.24,7.35,8.8,2.98,0.49,0.93,0
52.32,16.33,7.55,10.2,9.34,3.01,0.39,0.6,0
52.4,16.28,7.4,10.4,9.6,2.7,0.4,0.56,0
52.06,16.77,7.52,9.84,9.56,3,0.39,0.61,0
53.05,16.85,7.15,8.96,9.65,3.07,0.47,0.56,0
58.24,16.02,5.63,7.58,7.73,3.25,0.8,0.52,0
56.22,14.16,6.68,10.22,8.53,2.57,0.87,0.49,0
52.4,19.44,6.61,7.67,9.36,2.92,0.75,0.61,0
52.11,16.47,8.42,8.7,9.1,3.13,0.65,1.05,0
52.14,16.68,8.04,8.28,8.13,3.57,1.11,1.51,0
52.16,16.82,7.41,8.87,9.64,3.1,0.84,0.84,0
52.17,16.86,7.62,8.92,8.86,3.07,1.11,0.92,0
52.31,16.65,7.91,8.68,9.22,3.15,0.65,1.06,0
52.31,16.48,7.63,8.84,8.8,3.52,0.86,1.16,0
52.4,16.66,7.51,8.03,8.61,3.66,1.1,1.51,0
52.51,16.09,7.39,8.28,8.99,3.81,1.13,1.15,0
52.66,16.04,7.36,8.41,8.49,3.62,1.74,1.13,0
52.7,16,7.36,8.41,8.49,3.62,1.74,1.13,0
52.74,15.63,6.76,9.27,7.73,3.17,2.79,1.26,0
52.91,17.08,7.04,7.5,7.63,3.43,2.36,1.41,0
52.93,15.45,7.03,10,9.64,3.12,0.76,0.72,0
52.97,16.21,7.74,9.18,8.83,3.21,0.62,0.92,0
53.06,15.5,8.09,9.17,7.73,3.24,1.45,1.26,0
53.3,16.55,7.33,7.94,8.26,3.85,0.95,1.37,0
53.46,15.65,7.71,9.07,7.69,3.44,1.35,1.16,0
53.56,15.21,6.97,10.11,9.46,2.93,0.69,0.71,0
53.59,16.69,7.1,8.3,8.04,3.59,1.27,0.96,0
53.64,16.9,6.98,7.3,8.62,3.74,1.23,1.04,0
53.65,16.6,7.49,8.52,8.23,3.44,0.74,1,0
53.66,15.87,7.51,8.66,7.77,3.5,1.37,1.18,0
53.69,16.51,7.3,8.3,8.37,3.79,0.75,0.97,0
53.82,16.31,7.41,8.27,8.37,3.55,0.88,0.96,0
53.87,16.86,6.94,7.26,8.58,3.69,1.23,1.04,0
54.12,16.44,7.04,8.17,8.03,3.69,1.15,0.95,0
54.13,17.14,7.12,7.81,8.41,3.59,0.67,0.82,0
54.33,15.54,7.18,8.53,7.6,3.64,1.45,1.26,0
54.49,16.6,6.96,8.34,8.87,3.24,0.64,0.51,0
54.65,18.32,6.81,8.11,6.91,3.7,0.75,0.75,0
47.42,15.09,9.81,10.28,11.55,2.24,1.33,1.59,0
51.55,16.11,8.37,8.55,9.1,2.86,1.68,1.16,0
51.95,16.49,7.98,8.19,9.13,2.89,1.64,1.16,0
51.71,16.3,8.26,8.36,9.12,2.85,1.64,1.16,0
51.79,16.32,7.98,8.24,9.32,2.93,1.65,1.17,0
51.94,16.06,7.92,8.47,9.56,2.8,1.63,1.04,0
51.06,16.06,8.39,8.68,9.63,2.76,1.59,1.21,0
50.18,15.98,8.49,11.57,10.89,1.83,0.19,0.64,0
50.2,16.47,8.44,10.7,10.97,2.07,0.26,0.67,0
50.35,15.38,9.39,10.47,11.11,2,0.38,0.65,0
50.7,14.43,9.65,11.48,10.81,1.94,0.13,0.65,0
50.85,14.83,9.59,10.81,11.15,1.77,0.09,0.68,0
49.62,15.16,9.79,11.81,10.73,1.65,0.15,0.71,0
50.9,15.62,9.08,10.54,10.99,1.97,0.16,0.52,0
51.03,15.44,8.64,11.78,10.4,1.83,0.14,0.48,0
51.14,15.81,8.6,10.36,11.09,2.04,0.19,0.52,0
51.7,15.61,7.84,11.44,10.79,1.81,0.09,0.5,0
51.74,15.36,7.98,11.7,10.52,1.87,0.11,0.51,0
52.7,14.29,8.63,9.85,11.41,1.99,0.26,0.57,0
52.85,14.64,8.69,9.45,11,2.14,0.28,0.6,0
53.35,14.48,8.65,9.34,10.7,2.23,0.32,0.59,0
53.37,14.61,8.59,9.18,10.81,2.23,0.28,0.59,0
52.95,12.93,8.86,13.53,9.34,1.5,0.16,0.51,0
52.5,13.42,7.94,10.29,12.81,2.25,0.29,0.32,0
53.25,13.31,8.34,12.34,10.4,1.59,0.26,0.28,0
